molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL36985,O=C(O[C@@H]1C[C@](OC(=O)c2cc(O)c(O)c(O)c2)(C(=O)O)C[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,64000,inactive,800.587,1.6046,13,21,64000,4.193820026
CHEMBL1159460,O=C1O[C@H]2[C@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H](OC(=O)c3cc(O)c(O)c4c3C3C1=CC(=O)C(O)(O)C3(O)O4)[C@@H](OC(=O)c1cc(O)c(O)c(O)c1)O[C@@H]2COC(=O)c1cc(O)c(O)c(O)c1,16000,inactive,954.664,-1.0819,14,27,16000,4.795880017
CHEMBL80024,O=C1CC2O[C@H](O)C(O)C(O)C2OC(=O)c2cc(O)c(O)c(O)c2-c2c(O)c(O)c3oc(=O)c4c(c(O)c(O)c5oc(=O)c2c3c54)-c2c1cc(O)c(O)c2O,10000,inactive,766.529,0.4312,13,21,10000,5
CHEMBL288949,O=C1OCC2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC(C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O)C1OC(=O)c2c-4c(O)c(O)c(O)c2[C@@H]1O,4000,inactive,934.633,1.318,16,26,4000,5.397940009
CHEMBL3215318,O=C(O[C@@H]1O[C@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]12)c1cc(O)c(O)c(Oc2c(O)c(O)c(O)c3c2C(=O)O[C@H]2[C@@H]4OC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)O[C@@H]4[C@H](OC(=O)c4cc(O)c(O)c(O)c4)O[C@H]2COC(=O)c2cc(O)c(O)c(O)c2-3)c1,5000,inactive,1871.282,3.6939,29,52,5000,5.301029996
CHEMBL3215313,C=C1O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2C2C(O)(O3)C3(O)OC4(C(=O)OC5C(O)COC54O)C12CC3=O,17000,inactive,1108.785,-1.8825,15,31,17000,4.769551079
CHEMBL290632,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,40000,inactive,866.781,4.4439,15,18,40000,4.397940009
CHEMBL1159462,O=C(OC[C@H]1O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,100000,inactive,636.471,-0.2769,11,18,100000,4
CHEMBL310527,O=C(O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,100000,inactive,648.482,0.6231,11,17,100000,4
CHEMBL79244,O=C(OC1COC(=O)c2cc(O)c(O)c(O)c2-c2c(cc(O)c(O)c2O)C(=O)OC1C1OC(=O)c2cc(O)c(O)c(O)c2-c2c(O)c(O)c(O)c3c2C(=O)OC1[C@@H]3O)c1cc(O)c(O)c(O)c1,11000,inactive,936.649,1.3376,16,26,11000,4.958607315
